월,주야,주,야
1월,사고건수,8035,7981
,사망자수,190,199
,부상자수,12589,12505
2월,사고건수,7241,6946
,사망자수,136,199
,부상자수,11440,10815
3월,사고건수,9036,8429
,사망자수,198,211
,부상자수,13599,12862
4월,사고건수,9620,8411
,사망자수,164,216
,부상자수,14722,13073
5월,사고건수,10593,9093
,사망자수,215,205
,부상자수,15843,13833
6월,사고건수,9960,8369
,사망자수,195,241
,부상자수,15161,12512
7월,사고건수,10010,8431
,사망자수,221,223
,부상자수,15531,12856
8월,사고건수,10548,8143
,사망자수,192,220
,부상자수,16674,12516
9월,사고건수,9793,8013
,사망자수,211,219
,부상자수,14741,12197
10월,사고건수,10785,9012
,사망자수,236,263
,부상자수,15991,13516
11월,사고건수,10435,8961
,사망자수,223,256
,부상자수,15375,13611
12월,사고건수,9013,8496
,사망자수,209,250
,부상자수,13616,13133
